,DateVal,CMODateCount,CumCases
0,2020-01-31,2,2
1,2020-02-01,0,2
2,2020-02-02,0,2
3,2020-02-03,0,2
4,2020-02-04,0,2
5,2020-02-05,0,2
6,2020-02-06,1,3
7,2020-02-07,0,3
8,2020-02-08,0,3
9,2020-02-09,1,4
10,2020-02-10,4,8
11,2020-02-11,0,8
12,2020-02-12,0,8
13,2020-02-13,1,9
14,2020-02-14,0,9
15,2020-02-15,0,9
16,2020-02-16,0,9
17,2020-02-17,0,9
18,2020-02-18,0,9
19,2020-02-19,0,9
20,2020-02-20,0,9
21,2020-02-21,0,9
22,2020-02-22,0,9
23,2020-02-23,0,9
24,2020-02-24,4,13
25,2020-02-25,0,13
26,2020-02-26,0,13
27,2020-02-27,0,13
28,2020-02-28,6,19
29,2020-02-29,4,23
30,2020-03-01,12,35
31,2020-03-02,5,40
32,2020-03-03,11,51
33,2020-03-04,34,85
34,2020-03-05,29,114
35,2020-03-06,46,160
36,2020-03-07,46,206
37,2020-03-08,65,271
38,2020-03-09,50,321
39,2020-03-10,52,373
40,2020-03-11,83,456
41,2020-03-12,139,595
42,2020-03-13,207,797
